date;open;High;low;close;volume
28/04/2003;13.550.000.190.734.800;13.649.999.618.530.200;1.334.000.015.258.780;13.550.000.190.734.800;6626306
29/04/2003;13.300.000.190.734.800;13.670.000.076.293.900;13.279.999.732.971.100;13.300.000.190.734.800;11633007
30/04/2003;13.050.000.190.734.800;13.380.000.114.440.900;13.0;13.050.000.190.734.800;10501840
02/05/2003;1.315.999.984.741.210;1.315.999.984.741.210;12.829.999.923.706.000;1.315.999.984.741.210;5637876
05/05/2003;13.180.000.305.175.700;13.420.000.076.293.900;13.119.999.885.559.000;13.180.000.305.175.700;5082951
06/05/2003;13.390.000.343.322.700;13.420.000.076.293.900;13.069.999.694.824.200;13.390.000.343.322.700;7299894
07/05/2003;13.420.000.076.293.900;13.5;13.260.000.228.881.800;13.420.000.076.293.900;6385975
08/05/2003;13.149.999.618.530.200;134.399.995.803.833;13.050.000.190.734.800;13.149.999.618.530.200;5067919
09/05/2003;13.380.000.114.440.900;13.390.000.343.322.700;13.010.000.228.881.800;13.380.000.114.440.900;4607412
12/05/2003;13.380.000.114.440.900;13.5;13.319.999.694.824.200;13.380.000.114.440.900;5517382
13/05/2003;13.329.999.923.706.000;13.5;13.25;13.329.999.923.706.000;4366959
14/05/2003;13.380.000.114.440.900;13.649.999.618.530.200;13.359.999.656.677.200;13.380.000.114.440.900;10692743
15/05/2003;13.600.000.381.469.700;13.640.000.343.322.700;133.100.004.196.167;13.600.000.381.469.700;3867025
16/05/2003;13.630.000.114.440.900;13.729.999.542.236.300;13.510.000.228.881.800;13.630.000.114.440.900;4899817
19/05/2003;13.25;13.550.000.190.734.800;131.899.995.803.833;13.25;6071830
20/05/2003;13.329.999.923.706.000;13.399.999.618.530.200;13.149.999.618.530.200;13.329.999.923.706.000;5155009
21/05/2003;13.300.000.190.734.800;13.369.999.885.559.000;12.979.999.542.236.300;13.300.000.190.734.800;7858450
22/05/2003;13.329.999.923.706.000;13.420.000.076.293.900;13.050.000.190.734.800;13.329.999.923.706.000;13605302
23/05/2003;13.300.000.190.734.800;13.399.999.618.530.200;1.309.000.015.258.780;13.300.000.190.734.800;11395356
26/05/2003;13.350.000.381.469.700;13.449.999.809.265.100;13.210.000.038.146.900;13.350.000.381.469.700;1915991
27/05/2003;133.100.004.196.167;1.334.000.015.258.780;13.119.999.885.559.000;133.100.004.196.167;9469358
28/05/2003;13.449.999.809.265.100;13.520.000.457.763.600;13.300.000.190.734.800;13.449.999.809.265.100;6711378
29/05/2003;13.369.999.885.559.000;13.5;13.319.999.694.824.200;13.369.999.885.559.000;3613969
30/05/2003;134.399.995.803.833;13.510.000.228.881.800;133.100.004.196.167;134.399.995.803.833;6459061
02/06/2003;13.520.000.457.763.600;1.359.000.015.258.780;134.399.995.803.833;13.520.000.457.763.600;5698921
03/06/2003;13.489.999.771.118.100;13.539.999.961.853.000;13.380.000.114.440.900;13.489.999.771.118.100;4613624
04/06/2003;13.699.999.809.265.100;13.720.000.267.028.800;13.510.000.228.881.800;13.699.999.809.265.100;9877171
05/06/2003;13.640.000.343.322.700;13.829.999.923.706.000;13.579.999.923.706.000;13.640.000.343.322.700;11372530
06/06/2003;13.859.999.656.677.200;13.899.999.618.530.200;13.630.000.114.440.900;13.859.999.656.677.200;15089725
09/06/2003;13.800.000.190.734.800;13.829.999.923.706.000;13.680.000.305.175.700;13.800.000.190.734.800;4046504
10/06/2003;13.869.999.885.559.000;13.949.999.809.265.100;13.710.000.038.146.900;13.869.999.885.559.000;9882328
11/06/2003;13.989.999.771.118.100;14.050.000.190.734.800;138.100.004.196.167;13.989.999.771.118.100;8106372
12/06/2003;14.140.000.343.322.700;14.149.999.618.530.200;14.0;14.140.000.343.322.700;9307600
13/06/2003;1.409.000.015.258.780;14.239.999.771.118.100;13.979.999.542.236.300;1.409.000.015.258.780;6556649
16/06/2003;14.260.000.228.881.800;14.279.999.732.971.100;13.960.000.038.146.900;14.260.000.228.881.800;5846702
17/06/2003;14.210.000.038.146.900;14.380.000.114.440.900;14.149.999.618.530.200;14.210.000.038.146.900;9065966
18/06/2003;14.380.000.114.440.900;14.399.999.618.530.200;14.149.999.618.530.200;14.380.000.114.440.900;7067943
19/06/2003;14.25;14.390.000.343.322.700;14.170.000.076.293.900;14.25;5514474
20/06/2003;1.440.999.984.741.210;1.440.999.984.741.210;14.109.999.656.677.200;1.440.999.984.741.210;17578034
23/06/2003;14.260.000.228.881.800;14.350.000.381.469.700;141.899.995.803.833;14.260.000.228.881.800;11957425
24/06/2003;14.25;14.359.999.656.677.200;14.199.999.809.265.100;14.25;5233270
25/06/2003;14.260.000.228.881.800;14.350.000.381.469.700;14.180.000.305.175.700;14.260.000.228.881.800;7174499
26/06/2003;14.289.999.961.853.000;14.350.000.381.469.700;14.170.000.076.293.900;14.289.999.961.853.000;5911898
27/06/2003;14.149.999.618.530.200;1.434.000.015.258.780;14.079.999.923.706.000;14.149.999.618.530.200;8379344
30/06/2003;14.119.999.885.559.000;14.260.000.228.881.800;14.039.999.961.853.000;14.119.999.885.559.000;10166010
01/07/2003;13.899.999.618.530.200;14.199.999.809.265.100;1.384.000.015.258.780;13.899.999.618.530.200;10886839
02/07/2003;14.029.999.732.971.100;14.140.000.343.322.700;13.930.000.305.175.700;14.029.999.732.971.100;20531476
03/07/2003;139.399.995.803.833;14.149.999.618.530.200;1.384.000.015.258.780;139.399.995.803.833;7667378
04/07/2003;13.949.999.809.265.100;1.409.000.015.258.780;13.880.000.114.440.900;13.949.999.809.265.100;9571557
07/07/2003;14.069.999.694.824.200;14.170.000.076.293.900;13.949.999.809.265.100;14.069.999.694.824.200;11666932
08/07/2003;1.415.999.984.741.210;14.270.000.457.763.600;14.069.999.694.824.200;1.415.999.984.741.210;42819076
09/07/2003;1.415.999.984.741.210;14.25;14.119.999.885.559.000;1.415.999.984.741.210;29848724
10/07/2003;14.039.999.961.853.000;14.199.999.809.265.100;13.920.000.076.293.900;14.039.999.961.853.000;28678958
11/07/2003;141.899.995.803.833;141.899.995.803.833;13.949.999.809.265.100;141.899.995.803.833;20715978
14/07/2003;14.300.000.190.734.800;14.329.999.923.706.000;14.109.999.656.677.200;14.300.000.190.734.800;35620412
15/07/2003;1.415.999.984.741.210;14.25;1.409.000.015.258.780;1.415.999.984.741.210;23765172
16/07/2003;14.069.999.694.824.200;14.180.000.305.175.700;13.970.000.267.028.800;14.069.999.694.824.200;35003516
17/07/2003;14.079.999.923.706.000;14.180.000.305.175.700;1.390.999.984.741.210;14.079.999.923.706.000;30363540
18/07/2003;14.079.999.923.706.000;14.180.000.305.175.700;14.029.999.732.971.100;14.079.999.923.706.000;27192500
21/07/2003;14.050.000.190.734.800;14.199.999.809.265.100;13.979.999.542.236.300;14.050.000.190.734.800;10206977
22/07/2003;14.100.000.381.469.700;14.180.000.305.175.700;14.0;14.100.000.381.469.700;10514220
23/07/2003;14.069.999.694.824.200;14.149.999.618.530.200;14.020.000.457.763.600;14.069.999.694.824.200;2921079
24/07/2003;14.199.999.809.265.100;14.25;14.050.000.190.734.800;14.199.999.809.265.100;10441925
25/07/2003;14.130.000.114.440.900;14.170.000.076.293.900;14.029.999.732.971.100;14.130.000.114.440.900;7214532
28/07/2003;14.210.000.038.146.900;14.289.999.961.853.000;14.109.999.656.677.200;14.210.000.038.146.900;5338214
29/07/2003;14.140.000.343.322.700;14.260.000.228.881.800;14.069.999.694.824.200;14.140.000.343.322.700;4474847
30/07/2003;14.199.999.809.265.100;14.300.000.190.734.800;14.170.000.076.293.900;14.199.999.809.265.100;5493850
31/07/2003;14.25;14.289.999.961.853.000;14.130.000.114.440.900;14.25;6943643
01/08/2003;14.210.000.038.146.900;14.300.000.190.734.800;14.149.999.618.530.200;14.210.000.038.146.900;4432893
04/08/2003;141.899.995.803.833;14.319.999.694.824.200;14.109.999.656.677.200;141.899.995.803.833;8571883
05/08/2003;14.270.000.457.763.600;14.270.000.457.763.600;14.140.000.343.322.700;14.270.000.457.763.600;4132466
06/08/2003;14.119.999.885.559.000;14.319.999.694.824.200;14.079.999.923.706.000;14.119.999.885.559.000;11123678
07/08/2003;14.199.999.809.265.100;14.229.999.542.236.300;14.029.999.732.971.100;14.199.999.809.265.100;5164993
08/08/2003;14.399.999.618.530.200;14.470.000.267.028.800;14.220.000.267.028.800;14.399.999.618.530.200;6983486
11/08/2003;14.630.000.114.440.900;14.710.000.038.146.900;14.350.000.381.469.700;14.630.000.114.440.900;14969328
12/08/2003;14.670.000.076.293.900;148.100.004.196.167;14.609.999.656.677.200;14.670.000.076.293.900;6826298
13/08/2003;14.630.000.114.440.900;14.789.999.961.853.000;14.550.000.190.734.800;14.630.000.114.440.900;3217307
14/08/2003;1.490.999.984.741.210;14.949.999.809.265.100;1.465.999.984.741.210;1.490.999.984.741.210;7648857
18/08/2003;1.509.000.015.258.780;15.100.000.381.469.700;1.490.999.984.741.210;1.509.000.015.258.780;13791290
19/08/2003;15.140.000.343.322.700;15.229.999.542.236.300;15.039.999.961.853.000;15.140.000.343.322.700;7122664
